participant,observacions,espècies,identificacions
tatiana,626,67,0.0
nmdd,514,108,0.0
anaborer,488,60,0.0
marhumet,353,109,1830.0
cmiamatosinhos,245,76,0.0
gabiborer,239,73,0.0
cmonteiro,72,39,641.0
alu_mano,64,34,0.0
rnieto,55,30,328.0
joanapereira,48,14,0.0
juliana09,43,20,0.0
brunaj,36,12,0.0
pat_pantera,30,13,0.0
isabelem,28,13,0.0
pat_pinguim,26,18,0.0
pat_esquilo,26,11,0.0
oph,20,13,0.0
hugor,20,13,0.0
coastalwarming,20,17,0.0
sofiamorgado,19,14,0.0
leonor,19,12,0.0
cmonteiro12,19,15,14.0
nviana,19,14,0.0
ines3000,18,10,0.0
tfreitas,17,6,0.0
imatveev,15,8,0.0
liliamn,14,8,0.0
ines_ferreeira,14,12,0.0
anamafaldapt,13,12,0.0
elsagp05,12,8,0.0
ldg,11,7,0.0
dshostko,11,3,0.0
susana57,11,5,0.0
carlossa,11,6,0.0
matilde,11,9,0.0
blastedcrow,10,6,0.0
facu163,9,4,0.0
maluiannottak,9,6,0.0
franciscaarcher,8,6,0.0
adrianacasais,8,5,0.0
mariaines04,7,4,0.0
mariaeduarda,7,5,0.0
simaneri,7,6,0.0
ruifilipe,6,5,0.0
pfgloja,6,4,0.0
soaleri,6,5,0.0
m21,6,4,0.0
shanisa,6,3,0.0
anonimousminkacontributor,6,1,0.0
anasoares,5,5,0.0
ritamoreira_19,5,1,0.0
anateresq,5,3,0.0
marianaazevedo,5,1,0.0
mariaalmeida,5,3,0.0
paulosa,5,5,0.0
jpbarbosa2001,5,2,0.0
pat_tigre,4,2,0.0
mjoaobsantos,4,2,0.0
catarinamagalhaes03,4,1,0.0
nunogiesta,4,1,0.0
volhak,4,2,0.0
rocha,4,3,0.0
fplima,4,4,0.0
alexandrerebelo,3,1,0.0
rita55,3,3,0.0
sofialeite3230350,3,2,0.0
margaridamagno,3,2,0.0
asal,3,2,0.0
catarinarsilva17,3,3,0.0
anaalmeida,3,3,0.0
raquelribeiro,3,2,0.0
evzhi,2,2,0.0
rodry1717,2,2,0.0
idolphina,2,2,0.0
filipa182003,2,2,0.0
hugofaria,2,2,0.0
joaosousa2508,2,2,0.0
izzeddine,2,1,0.0
katsiaryna,2,2,0.0
zahra,2,1,0.0
maria62314,1,1,0.0
anatpato,1,0,0.0
inesflavioooo,1,0,0.0
tami,1,1,0.0
joopires,1,1,0.0
moostierchen,1,1,0.0
alexfonseca,1,0,0.0
matilde1234,1,1,0.0
itssarax,1,1,0.0
riita,1,0,0.0
anarochaalves,1,1,0.0
joianda,1,0,0.0
marianabarbosa,1,1,0.0
ipinto80u,1,0,0.0
