participant,observacions,identificacions,espècies,user_id
denisemarrero3,27,2,13,2799
xavilllabot,13,2,9,2660
ramonservitje,5,1,4,6
prdsoul,5,3,5,2295
hector,4,3,4,1831
oliver,4,4,2,1627
nereavieitez,4,2,2,556
sebas,4,1,4,1986
emmalau0,4,1,4,1869
jaume,4,3,3,306
noaguzmann,3,2,3,1955
mario1234,3,2,2,2031
saritaaaa,3,2,2,1833
edutorrents,3,2,2,1137
meri,3,3,2,1244
laadomii444,3,1,3,1715
aleixjx,3,3,3,1385
piripip,2,1,2,67
marr,2,1,2,1972
josepdegea,2,1,2,92
mireiafc,2,2,2,1056
marina_xg,2,4,2,539
isaac,2,0,0,498
gregoribdn,2,1,2,147
projectes-participatius,2,2,1,1183
darwin,2,0,2,1605
andi,2,1,2,1941
mooadd,2,0,1,1717
oriol2008,2,0,2,1716
davidt,2,2,1,2344
lucas,2,1,1,1623
aryues11,2,1,1,1971
emagca,2,1,2,2036
raul,2,1,2,1607
marc_benavides,1,0,1,2303
iiizaan,1,0,1,1868
ripfake,1,1,1,1940
diana,1,0,0,496
poposexy,1,1,1,1942
vmitjans,1,1,1,3196
malena,1,1,1,1849
mariio01,1,0,0,3201
noah,1,2,1,2032
eva,1,2,1,185
carmen,1,2,1,182
eiriku,1,2,1,547
asier,1,0,0,2012
mar_avelles,1,1,1,910
saragasull,1,1,1,2659
polmerlos,1,4,1,600
ikercamessalvador,1,1,1,566
ikerreales,1,3,1,572
cristinaabarca,1,0,0,1428
nerea,1,1,1,828
montse0112,1,2,1,1574
laragh,1,2,1,1575
holapoma,1,1,1,1830
parcero,1,0,1,1620
iagosm,1,1,1,1058
pishao,1,0,1,1621
ralcala,1,0,1,864
jalaball,1,1,1,623
