taxon_name,place_name,user_login,identifiers,name,name (1),id,created_at,updated_at,observed_on,observed_on_time,iconic_taxon,taxon_id,taxon_rank,latitude,longitude,obscured,quality_grade,user_id,license_obs,identifications_count,num_identification_agreements,num_identification_disagreements,kingdom,phylum,class,order,family,genus
Myriapora truncata,La Escribana Illes Medes,guillermoalvarez_fecdas,"guillermoalvarez_fecdas, xasalva",Spain,Gerona,399597,2024-11-21 00:00:00,2024-11-21 00:00:00,2024-07-30 00:00:00,2024-11-22 06:39:00,bryozoa,34982,species,42.0411,3.22686,False,research,16,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Myriaporidae,Myriapora
Reptadeonella violacea,"Ctra. de la Rovellada, 68, 17496 Colera, Girona, España",manelor,"manelor, xasalva",Spain,Gerona,399550,2024-11-21 00:00:00,2024-11-21 00:00:00,2024-11-20 00:00:00,2024-11-22 10:12:00,bryozoa,245658,species,42.41,3.1618,False,research,1732,cc-by,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Adeonidae,Reptadeonella
Porella,"Barcelona, España",vicent,vicent,Spain,Barcelona,399542,2024-11-21 00:00:00,2024-11-21 00:00:00,2024-11-21 00:00:00,2024-11-22 12:03:00,bryozoa,8687,genus,41.3628,1.97399,False,needs_id,64,cc-by-nc,0,0,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bryocryptellidae,
Bugulina,,badosa,"badosa, xasalva",Spain,Gerona,399377,2024-11-20 00:00:00,2024-11-20 00:00:00,2024-11-20 00:00:00,2024-11-22 12:31:00,bryozoa,93686,genus,41.6771,2.80822,False,needs_id,72,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,
Myriapora truncata,"Platja Mar Menuda, Av. Mar Menuda, 2, 17320 Tossa de Mar, Girona, Espanya",miquel17300,"miquel17300, xasalva",Spain,Gerona,399358,2024-11-20 00:00:00,2024-11-20 00:00:00,2024-11-19 00:00:00,2024-11-22 15:32:00,bryozoa,34982,species,41.7215,2.9399,False,research,275,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Myriaporidae,Myriapora
Myriapora truncata,"Platja Mar Menuda, Av. Mar Menuda, 2, 17320 Tossa de Mar, Girona, Espanya",miquel17300,"miquel17300, xasalva",Spain,Gerona,399315,2024-11-20 00:00:00,2024-11-20 00:00:00,2024-11-19 00:00:00,2024-11-22 15:32:00,bryozoa,34982,species,41.7215,2.9399,False,research,275,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Myriaporidae,Myriapora
Myriapora truncata,"Platja Mar Menuda, Av. Mar Menuda, 2, 17320 Tossa de Mar, Girona, Espanya",miquel17300,"miquel17300, xasalva",Spain,Gerona,399312,2024-11-20 00:00:00,2024-11-20 00:00:00,2024-11-19 00:00:00,2024-11-22 15:32:00,bryozoa,34982,species,41.7215,2.9399,False,research,275,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Myriaporidae,Myriapora
Myriapora truncata,,badosa,"badosa, xasalva",Spain,Gerona,399250,2024-11-20 00:00:00,2024-11-20 00:00:00,2024-11-20 00:00:00,2024-11-22 12:55:00,bryozoa,34982,species,41.6773,2.80832,False,research,72,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Myriaporidae,Myriapora
Myriapora truncata,la Trencada de fora,jalaball,"jalaball, xasalva",Spain,Barcelona,399220,2024-11-20 00:00:00,2024-11-20 00:00:00,2024-11-19 00:00:00,2024-11-22 10:40:00,bryozoa,34982,species,41.5282,2.44842,False,research,623,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Myriaporidae,Myriapora
Myriapora truncata,la Trencada de fora,jalaball,"jalaball, xasalva",Spain,Barcelona,399214,2024-11-20 00:00:00,2024-11-20 00:00:00,2024-11-19 00:00:00,2024-11-22 10:35:00,bryozoa,34982,species,41.5282,2.44842,False,research,623,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Myriaporidae,Myriapora
