id,photos_id,iconic_taxon,taxon_name,photos_medium_url,user_login,latitude,longitude,license_photo,attribution,path
399597,530235,bryozoa,Myriapora truncata,https://minka-sdg.org/attachments/local_photos/files/530235/medium.jpeg,guillermoalvarez_fecdas,42.0410910528,3.2268565893,cc-by-nc,"(c) Guillermo Alvarez Lerma, some rights reserved (CC BY-NC)",399597_530235_Myriapora truncata.jpg
399550,530177,bryozoa,Reptadeonella violacea,https://minka-sdg.org/attachments/local_photos/files/530177/medium.jpeg,manelor,42.4100435201,3.1618006491,cc-by,"(c) Manel Ortega, some rights reserved (CC BY)",399550_530177_Reptadeonella violacea.jpg
399542,530153,bryozoa,Porella,https://minka-sdg.org/attachments/local_photos/files/530153/medium.jpeg,vicent,41.362848557,1.9739934259,cc-by-nc,"(c) Vicenç Roig Vidal, some rights reserved (CC BY-NC)",399542_530153_Porella.jpg
399542,530162,bryozoa,Porella,https://minka-sdg.org/attachments/local_photos/files/530162/medium.jpeg,vicent,41.362848557,1.9739934259,cc-by-nc,"(c) Vicenç Roig Vidal, some rights reserved (CC BY-NC)",399542_530162_Porella.jpg
399377,529789,bryozoa,Bugulina,https://minka-sdg.org/attachments/local_photos/files/529789/medium.jpeg,badosa,41.677055,2.808221,cc-by-nc,"(c) Enric Badosa, some rights reserved (CC BY-NC)",399377_529789_Bugulina.jpg
399358,529915,bryozoa,Myriapora truncata,https://minka-sdg.org/attachments/local_photos/files/529915/medium.jpeg,miquel17300,41.7214832414,2.9399018831,cc-by-nc,"(c) Miquel Figueras, some rights reserved (CC BY-NC)",399358_529915_Myriapora truncata.jpg
399315,529819,bryozoa,Myriapora truncata,https://minka-sdg.org/attachments/local_photos/files/529819/medium.jpeg,miquel17300,41.7214832414,2.9399018831,cc-by-nc,"(c) Miquel Figueras, some rights reserved (CC BY-NC)",399315_529819_Myriapora truncata.jpg
399312,529810,bryozoa,Myriapora truncata,https://minka-sdg.org/attachments/local_photos/files/529810/medium.jpeg,miquel17300,41.7214832414,2.9399018831,cc-by-nc,"(c) Miquel Figueras, some rights reserved (CC BY-NC)",399312_529810_Myriapora truncata.jpg
399250,529754,bryozoa,Myriapora truncata,https://minka-sdg.org/attachments/local_photos/files/529754/medium.jpeg,badosa,41.6772502907,2.8083178762,cc-by-nc,"(c) Enric Badosa, some rights reserved (CC BY-NC)",399250_529754_Myriapora truncata.jpg
399220,529456,bryozoa,Myriapora truncata,https://minka-sdg.org/attachments/local_photos/files/529456/medium.jpeg,jalaball,41.5282173244,2.4484249646,cc-by-nc,"(c) jalaball, some rights reserved (CC BY-NC)",399220_529456_Myriapora truncata.jpg
